Price,Close,High,Low,Open,Volume,Date
2026-01-07 09:30:00+00:00,49756.0,49760.0,49756.0,49758.0,8,2026-01-08
2026-01-07 09:31:00+00:00,49755.0,49760.0,49754.0,49760.0,42,2026-01-08
2026-01-07 09:32:00+00:00,49758.0,49760.0,49755.0,49757.0,28,2026-01-08
2026-01-07 09:33:00+00:00,49761.0,49761.0,49757.0,49757.0,12,2026-01-08
2026-01-07 09:34:00+00:00,49761.0,49763.0,49759.0,49761.0,88,2026-01-08
2026-01-07 09:35:00+00:00,49757.0,49761.0,49757.0,49761.0,12,2026-01-08
2026-01-07 09:36:00+00:00,49758.0,49760.0,49757.0,49757.0,12,2026-01-08
2026-01-07 09:37:00+00:00,49759.0,49760.0,49756.0,49759.0,11,2026-01-08
2026-01-07 09:38:00+00:00,49749.0,49758.0,49746.0,49758.0,25,2026-01-08
2026-01-07 09:39:00+00:00,49743.0,49750.0,49743.0,49749.0,15,2026-01-08
2026-01-07 09:40:00+00:00,49733.0,49743.0,49733.0,49743.0,87,2026-01-08
2026-01-07 09:41:00+00:00,49733.0,49738.0,49732.0,49735.0,35,2026-01-08
2026-01-07 09:42:00+00:00,49744.0,49745.0,49732.0,49735.0,102,2026-01-08
2026-01-07 09:43:00+00:00,49746.0,49746.0,49740.0,49743.0,30,2026-01-08
2026-01-07 09:44:00+00:00,49743.0,49746.0,49743.0,49745.0,14,2026-01-08
2026-01-07 09:45:00+00:00,49748.0,49748.0,49748.0,49748.0,2,2026-01-08
2026-01-07 09:46:00+00:00,49744.0,49748.0,49743.0,49748.0,12,2026-01-08
2026-01-07 09:47:00+00:00,49742.0,49744.0,49739.0,49744.0,33,2026-01-08
2026-01-07 09:48:00+00:00,49747.0,49748.0,49742.0,49742.0,22,2026-01-08
2026-01-07 09:49:00+00:00,49747.0,49747.0,49746.0,49747.0,7,2026-01-08
2026-01-07 09:50:00+00:00,49747.0,49747.0,49744.0,49746.0,14,2026-01-08
2026-01-07 09:51:00+00:00,49749.0,49749.0,49746.0,49747.0,6,2026-01-08
2026-01-07 09:52:00+00:00,49747.0,49751.0,49745.0,49750.0,18,2026-01-08
2026-01-07 09:53:00+00:00,49746.0,49747.0,49746.0,49747.0,9,2026-01-08
2026-01-07 09:54:00+00:00,49742.0,49744.0,49742.0,49744.0,10,2026-01-08
2026-01-07 09:55:00+00:00,49747.0,49747.0,49743.0,49743.0,8,2026-01-08
2026-01-07 09:56:00+00:00,49747.0,49747.0,49744.0,49747.0,16,2026-01-08
2026-01-07 09:57:00+00:00,49745.0,49747.0,49744.0,49747.0,13,2026-01-08
2026-01-07 09:58:00+00:00,49742.0,49746.0,49742.0,49746.0,8,2026-01-08
2026-01-07 09:59:00+00:00,49744.0,49744.0,49739.0,49742.0,15,2026-01-08
2026-01-07 10:00:00+00:00,49744.0,49744.0,49735.0,49742.0,46,2026-01-08
